,Unnamed: 0.1,Unnamed: 0,User,Date Created,Number of Likes,Number of Retweets,Number of Replies,Number of Quotes,Number of Views,Tweet,Level of Engagement,class
263,10219,10219,AshwiniSahaya,2023-03-26 13:44:19+00:00,7984,4776,229,169,303026.0,"#Mumbai Shakti Mills Rape Case

A 22-year-old photojournalist was gang-raped by Salim Ansari (Master mind behind the crime), Siraj Rehman Khan and 4 others.

Just imagine that she was gang raped, they performed the unnatural sexual act, Assaulted and took pictures too https://t.co/qjudDsViu7",13158,2
264,2641,2641,AshwiniSahaya,2023-03-26 13:44:19+00:00,7984,4776,229,169,303000.0,"#Mumbai Shakti Mills Rape Case

A 22-year-old photojournalist was gang-raped by Salim Ansari (Master mind behind the crime), Siraj Rehman Khan and 4 others.

Just imagine that she was gang raped, they performed the unnatural sexual act, Assaulted and took pictures too https://t.co/qjudDsViu7",13158,2
265,11327,11327,thedigitaldash_,2023-03-26 14:12:31+00:00,11519,1487,48,73,819862.0,paris hilton being a white supremacist,13127,2
266,3537,3537,supertanskiii,2023-03-30 16:54:09+00:00,9580,2997,287,176,465163.0,"This upsetting advert from Age UK is also a warning to never ever vote Conservative. They did this. 

When they get booted out, their legacy will be a destroyed country and a population reeling from 15 years of abject fucking misery. They’re utter scum.

 https://t.co/Pe2DrSitZT",13040,0
267,10561,10561,IWF,2023-03-30 15:50:50+00:00,9403,2066,1032,479,1819800.0,"When @Riley_Gaines_ asked University of Pittsburgh professor Gabby Yearwood if an archeologist could differentiate between two sets of bones as male and female, Professor Yearwood. who calls himself the “expert in the room,” answers “no” to which the entire audience laughed. https://t.co/Ecxs1NMDTr",12980,2
268,2317,2317,Iyervval,2023-03-29 11:52:16+00:00,8109,4322,290,139,279348.0,"“Justice” Joseph SMILES at calls for Brahmins to be killed
“Justice” Nagaratna BLAMES the victims
“Justice” Joseph validates VIP calls to murder.

India does not deserve these two https://t.co/Zxssy0z0Vw",12860,2
269,5877,5877,Iyervval,2023-03-29 11:52:16+00:00,8109,4322,290,139,279322.0,"“Justice” Joseph SMILES at calls for Brahmins to be killed
“Justice” Nagaratna BLAMES the victims
“Justice” Joseph validates VIP calls to murder.

India does not deserve these two https://t.co/Zxssy0z0Vw",12860,2
270,9494,9494,JYSexton,2023-03-31 01:48:43+00:00,10525,2104,147,78,443800.0,"For those who don’t already understand, “Soros-backed District Attorney,” which every Right Wing media outlet is saying repeatedly, is just a thinly-veiled reference to antisemitic conspiracy theories that lie at the heart of white supremacist paranoia.",12854,2
271,8104,8104,JYSexton,2023-03-31 01:48:43+00:00,10524,2104,147,78,443759.0,"For those who don’t already understand, “Soros-backed District Attorney,” which every Right Wing media outlet is saying repeatedly, is just a thinly-veiled reference to antisemitic conspiracy theories that lie at the heart of white supremacist paranoia.",12853,2
272,789,789,boygrrll,2023-03-27 23:03:53+00:00,11588,1156,31,15,219647.0,"lonely white males: (hundreds of shootings)

reactionaries: think of how sad he was,,, no pussy,,,

(the minute one trans person commits a shooting)

reactionaries: this is because trans people exist",12790,0
273,11561,11561,antifaoperative,2023-03-29 01:08:05+00:00,9181,3245,238,107,288232.0,"You’re forcing little girls in Tennessee to carry their rape fetus.

You’re banning drag shows while children are raped every day in Tennessee churches. 

You have ZERO red flag laws for guns. 

You don’t give a fuck about kids.",12771,1
274,2635,2635,antifaoperative,2023-03-29 01:08:05+00:00,9180,3245,238,107,288205.0,"You’re forcing little girls in Tennessee to carry their rape fetus.

You’re banning drag shows while children are raped every day in Tennessee churches. 

You have ZERO red flag laws for guns. 

You don’t give a fuck about kids.",12770,1
275,6736,6736,kerringtonskyy,2023-03-26 17:26:26+00:00,8258,4239,16,215,412940.0,a clean house &amp; a candle lit is top tier😍,12728,2
276,5284,5284,kerringtonskyy,2023-03-26 17:26:26+00:00,8254,4239,16,215,412940.0,a clean house &amp; a candle lit is top tier😍,12724,2
277,9189,9189,braatasf,2023-03-29 09:02:10+00:00,10592,1066,207,840,720114.0,"dis nigga told me , “ Ian been feeling like talking lately” 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂BET",12705,0
278,4881,4881,JonathanPieNews,2023-03-27 18:32:55+00:00,10837,1579,193,67,438783.0,"If you fell into a sewer, got covered in shit, then when trying to find your way out, you tripped and landed in a pile of used condoms - your shirt would still be less of a dirty, filthy, disgusting, putrid rag than the Daily Mail. 

https://t.co/zczcdh4Spr",12676,1
279,5391,5391,JonathanPieNews,2023-03-27 18:32:55+00:00,10837,1579,193,67,438742.0,"If you fell into a sewer, got covered in shit, then when trying to find your way out, you tripped and landed in a pile of used condoms - your shirt would still be less of a dirty, filthy, disgusting, putrid rag than the Daily Mail. 

https://t.co/zczcdh4Spr",12676,1
280,8188,8188,ElieNYC,2023-03-30 23:28:52+00:00,10966,1240,298,65,176138.0,"Serious. News. People.: This is an important day. But not a good day. We're now a country which has indicted one of our former presidents.
Me: WOO. GET HIS ASS. SOMEBODY MAKE HIS MUGSHOT HIS OFFICIAL WHITE HOUSE PORTRAIT!",12569,0
281,5868,5868,ElieNYC,2023-03-30 23:28:52+00:00,10966,1240,298,65,176125.0,"Serious. News. People.: This is an important day. But not a good day. We're now a country which has indicted one of our former presidents.
Me: WOO. GET HIS ASS. SOMEBODY MAKE HIS MUGSHOT HIS OFFICIAL WHITE HOUSE PORTRAIT!",12569,0
282,9592,9592,ElieNYC,2023-03-30 23:28:52+00:00,10966,1240,298,65,176143.0,"Serious. News. People.: This is an important day. But not a good day. We're now a country which has indicted one of our former presidents.
Me: WOO. GET HIS ASS. SOMEBODY MAKE HIS MUGSHOT HIS OFFICIAL WHITE HOUSE PORTRAIT!",12569,0
283,1381,1381,LilySimpson1312,2023-03-31 23:27:00+00:00,11492,887,89,49,198816.0,"the 'go woke, go broke' crowd is pretty quiet right now https://t.co/DDMrzjDZ1f",12517,2
284,609,609,ladyracheldiane,2023-03-27 21:06:48+00:00,10475,1916,31,75,447468.0,"It’s so insane that majority of school shooters and mass murderers who kill innocent people are white, straight men, and republicans don’t do anything about it, but once it was unconfirmed that the Nashville shooter could be a transgender person, they pay attention.",12497,2
285,9593,9593,MsBlaireWhite,2023-03-31 15:28:33+00:00,11222,490,671,105,452256.0,Filming the reboot of Two and a Half Men w/ @joerogan @michaelmalice ❤️ https://t.co/eB3QTrXe4v,12488,2
286,565,565,skatie420,2023-03-25 21:36:49+00:00,11715,686,31,10,442184.0,sitting my white ass down and watching 21 Jump Street,12442,0
287,5867,5867,skatie420,2023-03-25 21:36:49+00:00,11715,686,31,10,442160.0,sitting my white ass down and watching 21 Jump Street,12442,0
288,10678,10678,NEWSJISOO,2023-03-30 00:17:46+00:00,9038,2911,85,386,220573.0,"Q&amp;A with JISOO. 

Q. You set a new record even before your comeback. The number of pre-orders exceeded 1.3 million copies, achieving the highest number ever for a single album by a female K-pop solo artist. 

A. Every time I hear the modifier 'first', my heart flutters and I am… https://t.co/rstMhPktvJ",12420,2
289,6486,6486,claudiamconwayy,2023-03-30 19:08:59+00:00,11155,870,304,38,279889.0,who the fuck cares how someone identifies when THEY’VE SHOT UP AN ELEMENTARY SCHOOL like why are we focused on the wrong things??? our children are being shot down in school and tucker carlson wants to blame transgender people??????? what????,12367,1
290,4870,4870,Glinner,2023-03-25 21:42:30+00:00,10498,1307,399,142,2383959.0,"This is what is known as ""getting your hands dirty"". Thank you for your bravery, Posie. You are a legend. https://t.co/uokiHLfv1s",12346,2
291,3985,3985,UnSubtleDesi,2023-03-30 05:07:17+00:00,9015,3008,272,34,199721.0,"Pappu slaves and ISIS toilet cleaners should make up their minds if Judiciary is independent or compromised. Problem is, they wish to call the Judiciary compromised without any consequences while calling for contempt by the same judiciary when individual statements are critiqued.",12329,2
292,9203,9203,cuteasstyy,2023-03-29 13:54:06+00:00,10086,1869,133,222,802864.0,Why niggas act like they allergic to dates or some,12310,0
293,7439,7439,OliLondonTV,2023-03-31 11:44:37+00:00,9415,2341,357,161,299553.0,"This brave Gay Man called out the danger of drag queen shows for kids. 

Wilson Gavin, 21, of Australia took his own life less than 24 hours later after being bombarded with death threats and hate from Trans Activists. 

All because he spoke up for kids. 

💔
 #TransTerrorists https://t.co/0h1G4zIkB4",12274,2
294,3320,3320,crackcobain__,2023-03-30 17:20:12+00:00,11020,1195,30,21,817385.0,What the fuck are you talkin about,12266,1
295,2550,2550,Trump_Detester,2023-03-23 20:16:02+00:00,9143,2329,452,246,154764.0,"If Trump can post a photo of himself holding a baseball bat in a threatening manner next to Alvin Bragg, then allow me to post this clip. Get the fuck outta here you piece of shit…Enjoy. https://t.co/qtc8Nujmbo",12170,1
296,1007,1007,mlyred,2023-03-26 23:48:10+00:00,10996,887,136,151,236783.0,@upblissed NYC is the only place where you see niggas beefing with superheroes https://t.co/34csIooVJT,12170,0
297,8423,8423,shannonrwatts,2023-03-28 14:04:28+00:00,8983,2455,476,139,702456.0,"“HOMESCHOOL HER.”

Republicans have gone from offering thoughts and prayers to saying unfettered access to guns is now likely to kill your children at school so you should probably just keep them inside at all times.",12053,2
298,5803,5803,adasletter,2023-03-30 10:08:53+00:00,10553,1233,82,114,251058.0,i don’t give a fuck about how they couldn’t find a meaningful way to incorporate her into the game i will always be bitter about the fact that she was scrapped from resident evil village like look at this serve https://t.co/Au9RGkBu6u,11982,1
299,920,920,dalasttslimeto,2023-03-30 18:24:33+00:00,9615,1922,84,343,405646.0,soon as a nigga stop telling me goodmorning ik it’s over with 😂😂😂😂,11964,0
300,6976,6976,paddysroyco,2023-03-24 23:06:41+00:00,11122,679,16,51,391951.0,glenn pulling back from rob mcelhenney's gay improv is so fucking funny to me https://t.co/D0RnZNBaZP,11868,0
301,9221,9221,leanwdafanta,2023-03-28 01:59:32+00:00,9630,1739,2,457,492439.0,I hate a nigga that been plotting on me for a while like why u do u still want me fr,11828,0
302,10924,10924,zukosmadre,2023-03-28 02:00:50+00:00,10651,1020,62,68,482041.0,Age gap discourse is so fucking frustrating because it’s largely situational but people cannot wrap their heads around the fact that a dynamic may be predatory and abusive for one person and not for another,11801,0
303,10614,10614,jmfolder,2023-03-30 15:58:12+00:00,9241,2281,5,133,133430.0,the transition from male dancers to female dancers then back to male dancers is Everything https://t.co/Eep34h4TLS,11660,2
304,4902,4902,DrewAfualo,2023-03-31 22:56:31+00:00,11421,183,23,29,200210.0,I don’t care if you’re the headmaster of chuckles university bitch .. that is not the time/nor the place to joke about cumming inside you. &amp; in front of your family/loved ones no less. So violently disrespectful.,11656,1
305,9230,9230,1bdbsuff,2023-03-28 02:39:43+00:00,9552,1887,26,125,391623.0,That nigga Frieza used to hop on the battle field just like this https://t.co/beuFn7YAHZ,11590,1
306,8403,8403,VeeBiggaveli,2023-03-28 00:06:10+00:00,6885,4218,0,464,470993.0,"Having a baby is literally like wearing your heart outside of your body, y’all think y’all crazy about your man🤣 you have no idea I’d steal, kill, lie, DIE about my baby with no hesitation! That’s the scary part about motherhood my love for my child is limitless &amp; unconditional.",11567,2
307,10555,10555,blizzy_mcguire,2023-03-25 15:47:02+00:00,9723,1558,47,77,349558.0,Straight men are the real faggots,11405,0
308,7749,7749,blizzy_mcguire,2023-03-25 15:47:02+00:00,9721,1558,47,77,349527.0,Straight men are the real faggots,11403,0
309,6954,6954,blizzy_mcguire,2023-03-25 15:47:02+00:00,9721,1558,47,77,349527.0,Straight men are the real faggots,11403,0
310,10599,10599,ChoooCole,2023-03-31 03:42:34+00:00,9192,1862,222,72,396447.0,"Trans identified female kills 6 people including 3 kids, “days of vengeance” are being hosted across the country, activists are storming Capitol buildings, the trans community has become extremely violent, the president jokes about it and the media says trans people are the real…",11348,2
311,953,953,allonKy,2023-03-24 08:15:50+00:00,8354,2470,54,430,415820.0,the post said niggas lose a good bitch just to be with somebody everybody else fucking😂😂😂😂😂😂😂😂😂😂😂😂nah tf fr they love them thots,11308,1
312,8092,8092,RepMTG,2023-03-31 18:49:22+00:00,5795,1185,4065,207,532883.0,"The only gun legislation acceptable and worth discussing is a plan that protects children in schools at the same security level, with guns, that politicians are protected by everyday at the Capitol and the President is at the White House.
If Jeffries is https://t.co/cg8tIO5gqR…",11252,2
313,9528,9528,ConservBrief,2023-03-31 01:02:37+00:00,7509,3040,479,165,72182.0,"Barack Hussein Obama created this era of racism, hate, and “wokeness.”
https://t.co/Ty1R183uke",11193,2
314,991,991,BDTRELILBROTHER,2023-03-24 20:34:19+00:00,8400,2604,8,173,456670.0,A Nigga with money &lt;&lt;&lt;&lt;&lt;&lt; a Nigga that will spend some of his money on you !,11185,0
315,8834,8834,Hoopztarot,2023-03-28 20:28:19+00:00,8719,2184,36,241,708705.0,"Y’all be in such a rush to play house, you miss out on your independence. I now understand why so many of our elders tell us to enjoy our youth. There is nothing like having your independence. Rushing to get married, having kids and moving in with partners does nothing but rob…",11180,2
316,6208,6208,ifygold21,2023-03-23 20:21:59+00:00,7891,2724,406,106,277314.0,"I beg DSS to arrest Peter Obi, so that Nigerian youths will use the opportunity to show you people their anger.

I dare DSS to arrest Peter Obi and see revolution in Nigeria.  

You can’t beat a child and tell him not to cry!!!

- Ezeife https://t.co/GY4qymyfe4",11127,2
317,3536,3536,anon_opin,2023-03-29 22:55:02+00:00,9528,792,631,143,1727182.0,Not a single fucking thing in Britain is better than it was 13 years ago.,11094,1
318,10390,10390,charliesavage84,2023-03-26 18:11:05+00:00,10628,307,80,12,372293.0,"What a win vs Sheffield Wednesday today, enjoyed that one 😁 https://t.co/w1xap4X4kL",11027,2
319,955,955,ShannonJessie,2023-03-24 00:12:49+00:00,7699,2870,42,319,537223.0,I’m not a ride or die. I’m not struggling with no nigga no more. Slavery days are over bitch,10930,1
320,951,951,realprettyygirl,2023-03-29 01:34:19+00:00,7768,2693,27,320,383592.0,I love being the first girl a Nigga do things with.,10808,1
321,4085,4085,Trump_Detester,2023-03-29 16:08:48+00:00,9002,1213,491,97,105644.0,"To those telling me to ‘worry about my own country’:
 
We share a 5,525 mile border with the USA. I do worry about my own country &amp; that’s the reason I resist. The GOP is the biggest threat to democracy and they are infecting Canadian politics as well. 

So kindly, fuck off.
🇨🇦",10803,0
322,8118,8118,sugatradamus,2023-03-31 04:12:36+00:00,8210,2193,88,302,126924.0,the girl in a white jacket is such a mood 😭 https://t.co/APkJQHcLjW,10793,1
323,571,571,YourRAGEz,2023-03-27 23:14:18+00:00,10442,157,142,36,498386.0,Even tried it with white boy music just incase LMAOOOO https://t.co/myAQG31ChD,10777,2
324,601,601,MattWallace888,2023-03-30 20:04:06+00:00,7363,1994,1091,267,591470.0,"A transgender person shoots up a Christian school and kills a bunch of kids*

White House Press Secretary A Few Minutes Ago: “Trans People Are Under Attack Right Now”

Are you kidding me?!? https://t.co/grPtrhQdkp",10715,0
325,2036,2036,REVWUTRUTH,2023-03-31 01:56:11+00:00,8119,2194,234,105,275162.0,"A black man was gunned down by a white person in Nashville at a Christian School. His name is Mike Hill. 

Where is BLM? 
Where is Reverend Jesse Jackson?
Where is Reverend Al Sharpton?
Where is Attorney Ben Crump?
Where are ALL of the ""No Justice, No Peace"" chants? 

Oops! They… https://t.co/Ol3GsPSGPp",10652,2
326,1710,1710,REVWUTRUTH,2023-03-31 01:56:11+00:00,8114,2193,234,105,274963.0,"A black man was gunned down by a white person in Nashville at a Christian School. His name is Mike Hill. 

Where is BLM? 
Where is Reverend Jesse Jackson?
Where is Reverend Al Sharpton?
Where is Attorney Ben Crump?
Where are ALL of the ""No Justice, No Peace"" chants? 

Oops! They… https://t.co/Ol3GsPSGPp",10646,2
327,7352,7352,thejoeynova,2023-03-23 22:47:38+00:00,9685,759,102,93,392053.0,It is endlessly funny to me that men have a literal G spot in their ass but so many of them go their entire lives without experiencing it because they’re worried that if they put anything in their butt it will make them gay,10639,0
328,599,599,REVWUTRUTH,2023-03-31 01:56:11+00:00,8101,2186,234,104,274385.0,"A black man was gunned down by a white person in Nashville at a Christian School. His name is Mike Hill. 

Where is BLM? 
Where is Reverend Jesse Jackson?
Where is Reverend Al Sharpton?
Where is Attorney Ben Crump?
Where are ALL of the ""No Justice, No Peace"" chants? 

Oops! They… https://t.co/Ol3GsPSGPp",10625,2
329,10667,10667,ChartsJisoo,2023-03-31 12:50:21+00:00,8104,2323,123,63,120989.0,"KPOP FEMALE SONGS THAT WENT #1 ON US ITUNES AND THIER SALES

#1 #JISOO FLOWER - 3827  
#2 Rosè ON THE GROUND - 2526 
#3 BLACKPINK PINK VENOM - 2034 https://t.co/CqitHAONzV",10613,2
330,9485,9485,REVWUTRUTH,2023-03-31 01:56:11+00:00,8075,2178,232,104,273462.0,"A black man was gunned down by a white person in Nashville at a Christian School. His name is Mike Hill. 

Where is BLM? 
Where is Reverend Jesse Jackson?
Where is Reverend Al Sharpton?
Where is Attorney Ben Crump?
Where are ALL of the ""No Justice, No Peace"" chants? 

Oops! They… https://t.co/Ol3GsPSGPp",10589,2
331,2985,2985,ambstate,2023-03-23 15:47:47+00:00,9657,524,134,271,954747.0,"Whatever girl was at 440 lastnight and thought they gave this nigga a fake number, girl you actually gave him mine 😭 https://t.co/0RonkRKOq1",10586,1
332,5035,5035,realstewpeters,2023-03-30 17:51:55+00:00,5989,3057,1177,361,423837.0,Whites are being savagely persecuted in broad daylight throughout the Western world in which they built. https://t.co/eqRUnjQf0t,10584,2
333,8083,8083,REVWUTRUTH,2023-03-31 01:56:11+00:00,8061,2172,232,104,272870.0,"A black man was gunned down by a white person in Nashville at a Christian School. His name is Mike Hill. 

Where is BLM? 
Where is Reverend Jesse Jackson?
Where is Reverend Al Sharpton?
Where is Attorney Ben Crump?
Where are ALL of the ""No Justice, No Peace"" chants? 

Oops! They… https://t.co/Ol3GsPSGPp",10569,2
334,999,999,MUSICANDBUILDS,2023-03-25 13:47:34+00:00,8216,1524,270,521,2638787.0,"THE BLACK MANS
OBSESSION WITH THE RAPPERS IMAGE
NOT THE RAPPERS SKILL OR TALENT
BUT HIS IMAGE..

See growing up
 I liked Dmx because he could rap 
I liked nas because he could rap
I liked Jay z cuz he could rap
I liked 2pac cuz he could rap

Y’all new niggas be liking rappers… https://t.co/bLCJQkoDxh",10531,0
335,5488,5488,REVWUTRUTH,2023-03-31 01:56:11+00:00,8022,2159,231,103,271608.0,"A black man was gunned down by a white person in Nashville at a Christian School. His name is Mike Hill. 

Where is BLM? 
Where is Reverend Jesse Jackson?
Where is Reverend Al Sharpton?
Where is Attorney Ben Crump?
Where are ALL of the ""No Justice, No Peace"" chants? 

Oops! They… https://t.co/Ol3GsPSGPp",10515,2
336,6981,6981,noonie_2x,2023-03-30 06:30:37+00:00,6786,3366,11,283,357511.0,as a female I hate messy shit 🤣so if a nigga ever put me in some messy shit he gotta go !! You fucking up my peace fr,10446,1
337,11521,11521,antifaoperative,2023-03-26 01:16:19+00:00,5978,3702,384,337,235394.0,"An Alaska State Trooper has been convicted for contacting a sixteen year old minor, who he previously stopped for a traffic violation, &amp; attempting to meet her at a hotel to rape her. https://t.co/pk0VXKHFpf",10401,2
338,11542,11542,niccoyat,2023-03-29 18:20:53+00:00,8254,2033,11,21,164297.0,"Nobody cares about tiktok, okay that’s fine. A rape charge in certain states [ w/ KIDS BTW ] in American can be a minimum of 10 years. Yet if you were to use a VPN to access tiktok the minimum is 20 years. Do you not see an issue with this? And they are saying they care for kids?",10319,2
339,7456,7456,FromAerin,2023-03-30 21:05:35+00:00,9746,416,62,55,518160.0,If i drop a link to a 3 hour long YouTube video with full episodes including the title track y’all gone hate me or love me?,10279,2
340,11625,11625,sardesairajdeep,2023-03-27 18:05:11+00:00,7865,1509,694,79,403568.0,Wow this is the new age Pandit ji who will engage in spurious whataboutery to defend rape and murder CONVICTS. Bahut sanskari @ashokepandit bahut sanskari! Lage raho 🙏,10147,2
341,8415,8415,lilkjay12,2023-03-29 00:15:31+00:00,8402,1468,69,99,782413.0,y’all so uneducated shrooms don’t make you kill someone that nigga was just crazy,10038,0
342,11523,11523,KayIgama,2023-03-27 06:10:14+00:00,7516,2236,141,126,654051.0,Men should plan a protest and demand the president to sign a law that will put any woman lying about RAPE behind bars for 25 years,10019,2
343,993,993,faiththegemini,2023-03-30 00:25:28+00:00,8426,1224,40,236,477999.0,when you play fighting with your nigga and suddenly remember that one time he cheated https://t.co/LLNC0jy1Ai,9926,1
344,1246,1246,DavidPolston9,2023-03-31 00:02:35+00:00,4849,4076,624,332,102882.0,I be a son of a bitch so is this how you get your way by threatening our parties it was told she said this but they made her delete this https://t.co/N1zaEkj6V0,9881,1
345,6982,6982,genmnz,2023-03-31 07:21:30+00:00,8001,1626,49,197,472746.0,i hate when men disappear for hours… bitch who were you fucking?????,9873,1
346,3822,3822,ANGELILUVU,2023-03-24 20:31:34+00:00,8340,1277,38,207,280445.0,You’ll find the finest nigga and he just can’t act normal to save his life,9862,0
347,4020,4020,BDTRELILBROTHER,2023-03-30 16:33:17+00:00,8764,673,122,185,978680.0,Now this is a chain for a lady them big ass tug of war copper collars YALL been wearing I don’t wanna see that this summer it’s starting to give run away slave be a princess y’all giving me EST GEE,9744,1
348,4044,4044,LegionHoops,2023-03-31 16:01:04+00:00,7051,950,388,1349,2204044.0,"Chris Boucher:

“The betting is not going to make it better now, with the parlays and all that… Somebody said, ‘I chose the wrong slave today.’ Literally sent me that message… Cause I only had 5 points and he needed me to score 10.”

(via @YahooSports, https://t.co/GG8vmEiVKW) https://t.co/o6nPD0Qskj",9738,2
349,8704,8704,ZorayaBlack_,2023-03-26 02:07:08+00:00,8003,1625,15,62,340837.0,I think the main thing you’ve gotta take from painful experiences is it didn’t kill you and you’re resilient enough to go through any of life’s hardships. But don’t take it as a sign to become a more paranoid/overly protective version of yourself. You’ll realise the main,9705,2
350,11512,11512,Nichola09797176,2023-03-30 22:58:07+00:00,8254,1204,132,39,137207.0,"Jk rowling hasn't punched horses, thrown liquids over women, punched the elderly, sent rape and death threats or called to decapitate anyone as trans activists have done. I'm definitely on her side",9629,2
351,6607,6607,CarrieCnh12,2023-03-30 17:43:17+00:00,9440,153,16,6,272426.0,@ValerieComplex @Phil_Lewis_ She sounds like someone who's accustomed to taking the blame for things that aren't her fault.,9615,2
352,2817,2817,iUsedToBeADuck,2023-03-28 23:11:51+00:00,8964,523,75,25,584685.0,"us: *having sex*
him: fuck you're tight
me: thanks, you’re pretty cool too",9587,1
353,11051,11051,tteokminnie,2023-03-29 13:52:51+00:00,7743,1597,47,175,113897.0,"🐥 While filming, there's a part where you have to fall to the ground but there was someone who hit their head but they didn't show it until the very end after filming when they said their head hurt. I wanted to say thank you to the dancers for working so hard",9562,2
354,11619,11619,xm_muva,2023-03-28 15:06:19+00:00,8238,1230,31,45,344055.0,"It wasn't only racist, but it was so deeply rooted in rape culture, anti blackness, and misogyny. She threw black and brown girls under the bus to posture herself as delicate, and *more* susceptible to sexual violence because of her femininity. It's weird it was all weird.",9544,2
355,11513,11513,jk_rowling,2023-03-24 21:54:23+00:00,8317,1033,126,37,579836.0,"3. You voted for a bill that means any Scottish male can, without surgery, hormones or psychiatric assessment, and even if he's been convicted of rape, apply to become a woman under the law. You say this couldn't possibly be abused.  2/3 
https://t.co/SoPX2kkb9q",9513,2
356,2969,2969,heavennrileyy,2023-03-26 00:10:55+00:00,6805,2383,51,235,373438.0,"a nigga really gotta kiss my ass for me to fw him &amp; that's just bc I don't believe shit that come out of a male species mouth, so unfortunately I need you to prove you're obsessed w me maybe I'm crazy idc",9474,1
357,5043,5043,Michael_Yon,2023-03-29 12:35:39+00:00,4931,2487,1699,331,522143.0,Blacks Killing Whites Every Day — for nothing more than being White…that’s called Race War https://t.co/qqX81BQnZq,9448,0
358,77,77,Michael_Yon,2023-03-29 12:35:39+00:00,4931,2486,1699,331,522120.0,Blacks Killing Whites Every Day — for nothing more than being White…that’s called Race War https://t.co/qqX81BQnZq,9447,0
359,9178,9178,cliff_ohio,2023-03-31 15:08:30+00:00,7368,1312,98,582,1076948.0,"everytime i take a bitch on a date who never been on a date in the back of my mind i'm like ""damn these other niggas moving smarter than me""",9360,1
360,947,947,somerichgirl1,2023-03-27 03:32:12+00:00,6292,2750,13,271,338758.0,i’ll leave a nigga alone befo i share em with y’all hoes,9326,1
361,9217,9217,__itsjt,2023-03-27 16:01:06+00:00,6639,1944,50,665,433478.0,Y’all be like “I’m never coming up off my nigga” and the nigga done fcked 10 bitches on you almost had a baby on you and all that im not sticking beside that 😂😭😭,9298,1
362,1328,1328,hamishsteele,2023-03-31 10:57:18+00:00,9181,87,13,5,164024.0,@CarverEmily Ok but as a queer kid with straight parents I’d absolutely fucking not like them to feel entitled to knowing that until I was ready.,9286,0
363,7264,7264,hamishsteele,2023-03-31 10:57:18+00:00,9157,87,13,5,163664.0,@CarverEmily Ok but as a queer kid with straight parents I’d absolutely fucking not like them to feel entitled to knowing that until I was ready.,9262,0
364,127,127,EndWokeness,2023-03-29 20:38:23+00:00,7884,994,324,56,656464.0,"NYC lit up to show solidarity with Blacks, Ukrainians, LGBTQ+, and Christians: https://t.co/9BUdAO9UGO",9258,2
365,7448,7448,UKLabour,2023-03-31 06:30:00+00:00,2482,368,4796,1596,3795820.0,"The Labour Party will always be committed to building a society where the trans community feel safe and respected.

Labour will:
🏳️‍⚧️ Introduce tougher sentences for LGBT+ hate crime
🏳️‍⚧️ Ban conversion therapy in all forms
🏳️‍⚧️ Modernise the outdated Gender Recognition Act https://t.co/XoTNvRGax8",9242,2
366,1322,1322,BraveArcanine,2023-03-25 15:13:57+00:00,7858,1231,67,61,321084.0,"“Queer is a slur” is amusing to me, because on a technical level Gay was a slur too, but Queerness has the possibility to include a broader spectrum of people. 

Now you have straight people inserting themselves into our business (fucking Rowling of course) to say Queer is bad",9217,0
367,7251,7251,BraveArcanine,2023-03-25 15:13:57+00:00,7858,1231,67,61,321024.0,"“Queer is a slur” is amusing to me, because on a technical level Gay was a slur too, but Queerness has the possibility to include a broader spectrum of people. 

Now you have straight people inserting themselves into our business (fucking Rowling of course) to say Queer is bad",9217,0
368,6464,6464,idillionaire,2023-03-30 14:35:15+00:00,7071,2011,49,47,276781.0,"Affirm:

I am attracting better because I have discovered that it all starts with me. I am going to change myself first so that everything can align for me. I’m not going to blame anyone. I am going to take responsibility for my life. The better I become, the better I attract.",9178,2
369,4064,4064,imnotclip,2023-03-29 21:50:46+00:00,8335,478,94,263,571136.0,I hate this city I’m literally surrounded by losers at least ppl in New York had motion all ppl do here is fuck n do ketamine and fight each other it’s giving back at the barnyard,9170,1
370,4849,4849,ayyy_vuh,2023-03-26 06:24:07+00:00,9012,95,36,2,96931.0,"so I said ""do you think you could kill me"" (dude's 5'7"" max) and he just started stammering and went on about how he got beat up in highschool because people thought he was a faggot I'm fucking crying holy shit",9145,0
371,6963,6963,ayyy_vuh,2023-03-26 06:24:07+00:00,9012,95,36,2,96916.0,"so I said ""do you think you could kill me"" (dude's 5'7"" max) and he just started stammering and went on about how he got beat up in highschool because people thought he was a faggot I'm fucking crying holy shit",9145,0
372,11125,11125,boysplanet_kr,2023-03-29 04:58:41+00:00,7127,1713,6,274,181501.0,"trainees with their head titel:
""sung hanbin solid center""
""kim taerae lovely smile""
""han yujin, nuna heart is pouding""
""lee jeonghyeon, falling in his smile"" https://t.co/7zC47fNFZH",9120,2
373,4502,4502,ErinInTheMorn,2023-03-27 22:52:13+00:00,7478,1360,231,33,265632.0,"To see some people look at all of the ways in which trans people are targeted and then blame mass shootings on us is sick.

Shootings aren’t new. Trans people aren’t to blame, nor are any other marginalized group.

They rather blame the people they hate than their own policies.",9102,0
374,9498,9498,CollinRugg,2023-03-31 17:39:32+00:00,7098,1540,299,43,152461.0,"It has been four days since a transgender maniac shot and killed 6 Christians and instead of defending Christians, the White House has spent four days defending transgenders.

Peak insanity.",8980,0
